Date;Categorie;Description;Marque;quantité;prix actuel;prix avant reduc;pourcentage reduc;prix par unité
02/05/2023;boissons-bio;Poudre Chocolatée 32% Bio;Biodyssée;800 g;5,69 ¬ ;6,30 ¬ ;-10%;7,11 ¬ /kg
02/05/2023;boissons-bio;Lait Demi-Ecrémé Bio;Natur'Avenir;500 mL;1,17 ¬ ;1,39 ¬ ;-16%;2,34 ¬ /L
02/05/2023;boissons-bio;Cola Equitable Bio;Vitamont;1,00 L;2,95 ¬ ;3,99 ¬ ;-26%;2,95 ¬ /L
02/05/2023;boissons-bio;Pur Jus De Pomme Non Filtré Bio;Vitamont;1,00 L;2,55 ¬ ;3,19 ¬ ;-20%;2,55 ¬ /L
02/05/2023;boissons-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;boissons-bio;Lait de Vache UHT Demi-Écrémé France Bio;Natur'Avenir;1,00 L;1,30 ¬ ;1,86 ¬ ;-30%;1,30 ¬ /L
02/05/2023;maison-ecologique;Lessive Liquide Blanc et Couleurs Certifiée Eco-détergent;La Fourche;1,50 L;3,99 ¬ ;6,73 ¬ ;-41%;2,66 ¬ /L
02/05/2023;maison-ecologique;Lessive Liquide Blanc et Couleurs Certifiée Eco-détergent;La Fourche;5,00 L;12,98 ¬ ;20,48 ¬ ;-37%;2,60 ¬ /L
02/05/2023;maison-ecologique;Spray Nettoyant Multisurfaces Certifié Ecodétergent;La Fourche;500 mL;1,99 ¬ ;3,55 ¬ ;-44%;3,98 ¬ /L
02/05/2023;maison-ecologique;Gel WC Certifié Ecodétergent;La Fourche;750 mL;2,39 ¬ ;3,76 ¬ ;-36%;3,19 ¬ /L
02/05/2023;maison-ecologique;Percarbonate de Soude;La Fourche;1 kg;4,99 ¬ ;7,16 ¬ ;-30%;4,99 ¬ /kg
02/05/2023;maison-ecologique;Sacs Poubelle Recyclé Lien coulissant 30L x 20;La Fourche;Pas de quantité;1,70 ¬ ;2,46 ¬ ;-31%;0,09 ¬ /unité
02/05/2023;maison-ecologique;Spray Nettoyant Anticalcaire Certifié Ecodétergent;La Fourche;500 mL;1,99 ¬ ;2,90 ¬ ;-31%;3,98 ¬ /L
02/05/2023;maison-ecologique;Cristaux de Soude;La Fourche;1 kg;4,10 ¬ ;5,89 ¬ ;-30%;4,10 ¬ /kg
02/05/2023;maison-ecologique;Vinaigre Ménager 12%;La Fourche;5,00 L;8,98 ¬ ;11,84 ¬ ;-24%;1,80 ¬ /L
02/05/2023;maison-ecologique;Sacs Poubelle Recyclé Lien coulissant 50L x 20;La Fourche;Pas de quantité;2,84 ¬ ;4,15 ¬ ;-32%;0,14 ¬ /unité
02/05/2023;maison-ecologique;Tablettes Lave Vaisselle Tout en 1 Certifiées Ecodétergent x 60;La Fourche;Pas de quantité;9,86 ¬ ;12,81 ¬ ;-23%;0,16 ¬ /unité
02/05/2023;maison-ecologique;Mouchoir Boîte 3 Feuilles - x80 mouchoirs;Grazie;Pas de quantité;1,50 ¬ ;2,02 ¬ ;-26%;1,50 ¬ /unité
02/05/2023;maison-ecologique;Liquide Vaisselle Concentré;L'Artisan Savonnier;1,00 L;2,13 ¬ ;2,80 ¬ ;-24%;2,13 ¬ /L
02/05/2023;maison-ecologique;Savon de Marseille en Copeaux Certifié Ecodétergent;La Fourche;1 kg;9,95 ¬ ;15,16 ¬ ;-34%;9,95 ¬ /kg
02/05/2023;maison-ecologique;Savon Noir Liquide Certifié Ecodétergent;La Fourche;5,00 L;20,95 ¬ ;28,74 ¬ ;-27%;4,19 ¬ /L
02/05/2023;maison-ecologique;Essuie-Tout Blanc 100% Recyclé Ecolabel Origine France - 200 Feuilles x 2;Papeco;Pas de quantité;3,59 ¬ ;4,86 ¬ ;-26%;1,80 ¬ /unité
02/05/2023;maison-ecologique;Eco Eponges Grattantes  x 2;La Fourche;Pas de quantité;1,59 ¬ ;1,90 ¬ ;-16%;0,80 ¬ /unité
02/05/2023;maison-ecologique;Acide Citrique;La Fourche;1 kg;8,30 ¬ ;9,93 ¬ ;-16%;8,30 ¬ /kg
02/05/2023;maison-ecologique;Spray Nettoyant Vitres et Surfaces Vitrées Certifié Ecodétergent;La Fourche;500 mL;1,99 ¬ ;3,18 ¬ ;-37%;3,98 ¬ /L
02/05/2023;maison-ecologique;Papier Toilette 100% Origine France x 6;Papeco;Pas de quantité;3,30 ¬ ;4,06 ¬ ;-19%;0,55 ¬ /unité
02/05/2023;maison-ecologique;Vinaigre Ménager 12%;La Fourche;1,00 L;1,92 ¬ ;2,36 ¬ ;-19%;1,92 ¬ /L
02/05/2023;maison-ecologique;Percarbonate de Soude;La Fourche;2,5 kg;11,65 ¬ ;14,11 ¬ ;-17%;4,66 ¬ /kg
02/05/2023;maison-ecologique;Nettoyant Sols et Surfaces Certifié Ecodétergent;La Fourche;1,00 L;2,49 ¬ ;3,29 ¬ ;-24%;2,49 ¬ /L
02/05/2023;maison-ecologique;Sel régénérant pour Lave-Vaisselle;Sonett;2 kg;2,75 ¬ ;3,64 ¬ ;-24%;1,38 ¬ /kg
02/05/2023;maison-ecologique;Bicarbonate de Soude;La Fourche;1 kg;3,78 ¬ ;4,29 ¬ ;-12%;3,78 ¬ /kg
02/05/2023;maison-ecologique;Savon Vaisselle Certifié Ecodétergent;La Fourche;200 g;2,25 ¬ ;2,89 ¬ ;-22%;11,25 ¬ /kg
02/05/2023;maison-ecologique;Mouchoirs Etuis x 10;Grazie;Pas de quantité;1,68 ¬ ;2,13 ¬ ;-21%;0,17 ¬ /unité
02/05/2023;maison-ecologique;Savon Noir Liquide Certifié Ecodétergent;La Fourche;1,00 L;4,95 ¬ ;5,62 ¬ ;-12%;4,95 ¬ /L
02/05/2023;maison-ecologique;Bâton de Charbon Actif 100% Français;Le Charbon Français;Pas de quantité;6,89 ¬ ;8,73 ¬ ;-21%;6,89 ¬ /unité
02/05/2023;maison-ecologique;Recharge Tête Brosse à Vaisselle;Brosserie Domergue;Pas de quantité;2,05 ¬ ;2,86 ¬ ;-28%;2,05 ¬ /unité
02/05/2023;maison-ecologique;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;maison-ecologique;Bicarbonate de Soude;La Fourche;2,5 kg;8,98 ¬ ;9,99 ¬ ;-10%;3,59 ¬ /kg
02/05/2023;maison-ecologique;Lessive liquide Concentrée à la Lavande;L'Artisan Savonnier;1,50 L;4,78 ¬ ;5,92 ¬ ;-19%;3,19 ¬ /L
02/05/2023;maison-ecologique;Brosse à Vaisselle à Tête Interchangeable;Brosserie Domergue;Pas de quantité;2,70 ¬ ;3,62 ¬ ;-25%;2,70 ¬ /unité
02/05/2023;maison-ecologique;Eco Eponges Douces  x 2;La Fourche;Pas de quantité;1,39 ¬ ;1,64 ¬ ;-15%;0,70 ¬ /unité
02/05/2023;maison-ecologique;Gel Détartrant concentré;L'Artisan Savonnier;750 mL;2,78 ¬ ;3,38 ¬ ;-18%;3,71 ¬ /L
02/05/2023;maison-ecologique;Perles De Céramique Spécial Carafes x 15;Les Verts Moutons;Pas de quantité;9,77 ¬ ;11,55 ¬ ;-15%;0,65 ¬ /unité
02/05/2023;maison-ecologique;Vinaigre Blanc 6% Bio;Bio Pour Tous;1,00 L;1,95 ¬ ;2,25 ¬ ;-13%;1,95 ¬ /L
02/05/2023;maison-ecologique;Lessive Laine & délicat;L'Artisan Savonnier;1,50 L;4,88 ¬ ;6,41 ¬ ;-24%;3,25 ¬ /L
02/05/2023;maison-ecologique;Tablettes Lave-Vaisselle Tout-En-Un XL x 100;Ecover;Pas de quantité;18,61 ¬ ;24,79 ¬ ;-25%;0,19 ¬ /unité
02/05/2023;maison-ecologique;Tablettes WC 2 en 1 x 12;Etamine Du Lys;Pas de quantité;3,97 ¬ ;4,64 ¬ ;-14%;0,33 ¬ /unité
02/05/2023;maison-ecologique;Boîtes Pour Chat Au Poulet Et Spiruline Bio;Yarrah;400 g;2,43 ¬ ;3,42 ¬ ;-29%;6,08 ¬ /kg
02/05/2023;maison-ecologique;Piège Rechargeable pour Mites Textiles;Aries;Pas de quantité;7,65 ¬ ;9,75 ¬ ;-22%;7,65 ¬ /unité
02/05/2023;maison-ecologique;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;maison-ecologique;Poudre Lave Vaisselle;Etamine Du Lys;1,3 kg;10,97 ¬ ;13,59 ¬ ;-19%;8,44 ¬ /kg
02/05/2023;maison-ecologique;Lessive Liquide Universelle;Ecover;5,00 L;34,70 ¬ ;41,95 ¬ ;-17%;6,94 ¬ /L
02/05/2023;maison-ecologique;Assouplissant concentré à la Lavande;L'Artisan Savonnier;1,50 L;4,37 ¬ ;4,95 ¬ ;-12%;2,91 ¬ /L
02/05/2023;maison-ecologique;Nettoyant WC Power - Agrumes;Ecover;750 mL;3,79 ¬ ;4,95 ¬ ;-23%;5,05 ¬ /L
02/05/2023;maison-ecologique;Graines Bio de Cosmos Sensation En Mélange;La Semence Bio;1 g;2,57 ¬ ;3,20 ¬ ;-20%;5/ 140,00 ¬ /kg
02/05/2023;maison-ecologique;Nettoyant Multi Usage Citronnelle Gingembre;Ecover;5,00 L;14,04 ¬ ;16,99 ¬ ;-17%;2,81 ¬ /L
02/05/2023;maison-ecologique;Eponges Grattantes aux Coquilles de Noix x 2;Pimpant;Pas de quantité;3,56 ¬ ;4,40 ¬ ;-19%;1,78 ¬ /unité
02/05/2023;maison-ecologique;Filtres à Café FSC Non Blanchis x 100;If You Care;Pas de quantité;2,06 ¬ ;2,90 ¬ ;-29%;0,02 ¬ /unité
02/05/2023;maison-ecologique;Boîtes Pour Chat Au Poisson Et Spiruline Bio;Yarrah;400 g;2,55 ¬ ;3,63 ¬ ;-30%;6,37 ¬ /kg
02/05/2023;maison-ecologique;Graines Bio de Capucine Variété Nasturtium;La Semence Bio;2 g;2,57 ¬ ;3,05 ¬ ;-16%;1/ 285,00 ¬ /kg
02/05/2023;maison-ecologique;Liquide Vaisselle Zéro;Ecover;450 mL;2,67 ¬ ;3,44 ¬ ;-22%;5,93 ¬ /L
02/05/2023;maison-ecologique;Brosse à Vaisselle en Noix de Coco;Bambaw;Pas de quantité;5,18 ¬ ;7,49 ¬ ;-31%;5,18 ¬ /unité
02/05/2023;maison-ecologique;Pièges Rechargeables pour Mites Alimentaires x 5;Aries;Pas de quantité;5,75 ¬ ;6,72 ¬ ;-14%;1,15 ¬ /unité
02/05/2023;maison-ecologique;Adoucissant Senteur Fleur de Pommier & Amande;Ecover;5,00 L;17,90 ¬ ;19,47 ¬ ;-8%;3,58 ¬ /L
02/05/2023;maison-ecologique;Graines Bio de Basilic Genovese Type Grand Vert;La Semence Bio;1 g;2,57 ¬ ;3,10 ¬ ;-17%;5/ 140,00 ¬ /kg
02/05/2023;maison-ecologique;Adoucissant senteur Fleur de Pommier & Amande;Ecover;1,00 L;4,30 ¬ ;5,25 ¬ ;-18%;4,30 ¬ /L
02/05/2023;maison-ecologique;Déboucheur pour Canalisations Action rapide;Etamine Du Lys;1,00 L;6,45 ¬ ;9,11 ¬ ;-29%;6,45 ¬ /L
02/05/2023;maison-ecologique;Graines Bio Mélange de Fleurs Abeilles;La Semence Bio;Pas de quantité;4,82 ¬ ;5,90 ¬ ;-18%;4,82 ¬ /unité
02/05/2023;maison-ecologique;Lessive en Poudre Universelle;Ecover;1,2 kg;9,29 ¬ ;11,42 ¬ ;-19%;7,74 ¬ /kg
02/05/2023;maison-ecologique;Litière pour Chat à l'Argile Bio;Yarrah;7 kg;10,50 ¬ ;15,47 ¬ ;-32%;1,50 ¬ /kg
02/05/2023;maison-ecologique;Blanc de Meudon;L'Artisan Savonnier;500 g;2,65 ¬ ;3,50 ¬ ;-24%;5,30 ¬ /kg
02/05/2023;maison-ecologique;Liquide de Rinçage;Etamine Du Lys;1,00 L;5,68 ¬ ;7,14 ¬ ;-20%;5,68 ¬ /L
02/05/2023;maison-ecologique;Set de Brosses à Bouteille x 4;Bambaw;Pas de quantité;8,35 ¬ ;10,79 ¬ ;-23%;2,09 ¬ /unité
02/05/2023;maison-ecologique;Friandise à Mâcher pour Chien Bio;Yarrah;33 g;1,99 ¬ ;2,76 ¬ ;-28%;60,30 ¬ /kg
02/05/2023;maison-ecologique;Terre de Diatomée;Maison Pinson;1 kg;10,22 ¬ ;12,55 ¬ ;-19%;10,22 ¬ /kg
02/05/2023;maison-ecologique;Graines Bio d'Rillet D'Inde Tagete Légion D'Honneur;La Semence Bio;3 g;2,57 ¬ ;3,20 ¬ ;-20%;1/ 028,00 ¬ /kg
02/05/2023;maison-ecologique;Stick Détachant 100% Artisanal au Fiel;Pimpant;75 g;4,99 ¬ ;5,53 ¬ ;-10%;66,53 ¬ /kg
02/05/2023;maison-ecologique;Pierre d'Argiletz;Argiletz;300 g;7,69 ¬ ;11,00 ¬ ;-30%;25,63 ¬ /kg
02/05/2023;maison-ecologique;Lessive Liquide Universelle;Ecover;1,50 L;10,99 ¬ ;14,46 ¬ ;-24%;7,33 ¬ /L
02/05/2023;maison-ecologique;Graines Bio de Coquelicot Des Champs;La Semence Bio;1 g;2,57 ¬ ;3,05 ¬ ;-16%;5/ 140,00 ¬ /kg
02/05/2023;maison-ecologique;Eponge Lavable en Coton Bio;Ma Petite Eponge;Pas de quantité;9,16 ¬ ;12,00 ¬ ;-24%;9,16 ¬ /unité
02/05/2023;maison-ecologique;Balles de Séchage x 3;Pimpant;Pas de quantité;10,13 ¬ ;12,90 ¬ ;-21%;3,38 ¬ /unité
02/05/2023;maison-ecologique;Détachant;Ecover;200 mL;4,42 ¬ ;5,48 ¬ ;-19%;22,10 ¬ /L
02/05/2023;maison-ecologique;Beewraps S, M et L x 3;L'Embeillage;Pas de quantité;13,13 ¬ ;18,90 ¬ ;-31%;4,38 ¬ /unité
02/05/2023;maison-ecologique;Pochons X12 Emincé Chat à la Volaille Bio;Felichef;1,02 kg;11,20 ¬ ;18,38 ¬ ;-39%;10,98 ¬ /kg
02/05/2023;maison-ecologique;Graines Bio de Fraise Reine Des Vallées;La Semence Bio;1 g;2,57 ¬ ;3,10 ¬ ;-17%;3/ 212,50 ¬ /kg
02/05/2023;beaute-hygiene-bio;Savon de Provence Verveine Certifié Cosmos Organic;La Fourche;100 g;2,20 ¬ ;3,12 ¬ ;-29%;22,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Cube de Savon de Marseille  Certifié Cosmos Natural;La Fourche;300 g;2,30 ¬ ;4,09 ¬ ;-44%;7,67 ¬ /kg
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Cube de Savon de Marseille Certifié Cosmos Natural;La Fourche;600 g;4,30 ¬ ;7,89 ¬ ;-46%;7,17 ¬ /kg
02/05/2023;beaute-hygiene-bio;Déodorant Solide en Stick Citron Certifié Cosmos Organic;La Fourche;50 g;4,95 ¬ ;8,20 ¬ ;-40%;99,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Shampoing Solide Cheveux Secs ou Abimés Certifié Cosmos Organic;La Fourche;80 mL;3,99 ¬ ;5,61 ¬ ;-29%;49,88 ¬ /L
02/05/2023;beaute-hygiene-bio;Savon de Provence Amande Douce Certifié Cosmos Organic;La Fourche;100 g;2,20 ¬ ;3,12 ¬ ;-29%;22,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Dentifrice Fraicheur au Menthol;Coslys;100 g;2,30 ¬ ;3,02 ¬ ;-24%;23,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Savon de Provence au Lait d'ânesse Certifié Cosmos Organic;La Fourche;100 g;2,30 ¬ ;3,23 ¬ ;-29%;23,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Protège-slips Galbés x 30;Natracare;Pas de quantité;1,94 ¬ ;2,77 ¬ ;-30%;0,06 ¬ /unité
02/05/2023;beaute-hygiene-bio;Savon Saponifié à Froid Bébé et Peaux Sensibles Certifié Cosmos Natural;La Fourche;80 g;3,20 ¬ ;4,28 ¬ ;-25%;40,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Savon de Provence Feuille de Figuier Certifié Cosmos Organic;La Fourche;100 g;2,20 ¬ ;3,12 ¬ ;-29%;22,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Gel Douche Fleur d'Oranger Certifié Cosmos Organic;La Fourche;1,00 L;7,50 ¬ ;9,04 ¬ ;-17%;7,50 ¬ /L
02/05/2023;beaute-hygiene-bio;Savon D'Alep Pur Olive;Najel;200 g;2,67 ¬ ;3,86 ¬ ;-31%;13,35 ¬ /kg
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Shampoing Solide Cheveux Normaux Certifié Cosmos Organic;La Fourche;80 mL;3,99 ¬ ;5,61 ¬ ;-29%;49,88 ¬ /L
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Savon Saponifié à Froid Fleur d'Oranger Certifié Cosmos Organic;La Fourche;80 g;3,09 ¬ ;3,93 ¬ ;-21%;38,63 ¬ /kg
02/05/2023;beaute-hygiene-bio;Disques à démaquiller au Coton Bio x 70;Bel Nature;Pas de quantité;1,39 ¬ ;1,99 ¬ ;-30%;0,02 ¬ /unité
02/05/2023;beaute-hygiene-bio;Gel Douche Lavant Neutre Certifié Cosmos Organic;La Fourche;1,00 L;7,98 ¬ ;14,58 ¬ ;-45%;7,98 ¬ /L
02/05/2023;beaute-hygiene-bio;Mascara Volume Noir Certifié bio;Avril;10 g;6,36 ¬ ;8,00 ¬ ;-20%;636,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Déodorant bille Certifié Bio;Avril;50 mL;2,25 ¬ ;2,75 ¬ ;-18%;45,00 ¬ /L
02/05/2023;beaute-hygiene-bio;Shampoing Solide Cheveux Gras Certifié Cosmos Organic;La Fourche;80 mL;3,99 ¬ ;5,61 ¬ ;-29%;49,88 ¬ /L
02/05/2023;beaute-hygiene-bio;Dentifrice à la menthe Certifié Bio;Avril;100 mL;3,00 ¬ ;3,80 ¬ ;-21%;30,00 ¬ /L
02/05/2023;beaute-hygiene-bio;Shampoing Usage Fréquent Miel Calendula Avoine - Certifié Bio;Ce'Bio;1,00 L;7,80 ¬ ;9,78 ¬ ;-20%;7,80 ¬ /L
02/05/2023;beaute-hygiene-bio;Savon D'Alep 40% Huile De Baies De Laurier;Najel;185 g;5,65 ¬ ;7,48 ¬ ;-24%;30,54 ¬ /kg
02/05/2023;beaute-hygiene-bio;Cotons Tiges au Coton Bio x 200;Bel Nature;Pas de quantité;1,37 ¬ ;1,58 ¬ ;-13%;0,01 ¬ /unité
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Argile Verte Ultra Ventilée;Argiletz;300 g;3,89 ¬ ;5,30 ¬ ;-27%;12,97 ¬ /kg
02/05/2023;beaute-hygiene-bio;Serviettes Ultra Super avec Ailettes x 12;Natracare;Pas de quantité;2,79 ¬ ;3,78 ¬ ;-26%;0,23 ¬ /unité
02/05/2023;beaute-hygiene-bio;Gel hydratant 98% Aloé Véra Bio & Equitable;Pur'Aloé;250 mL;12,69 ¬ ;16,19 ¬ ;-22%;50,76 ¬ /L
02/05/2023;beaute-hygiene-bio;Porte-Savon Ventouse;Endro;Pas de quantité;7,35 ¬ ;9,00 ¬ ;-18%;7,35 ¬ /unité
02/05/2023;beaute-hygiene-bio;Savon au Lait d'ânesse - Karité Sans Parfum;Cosmo Naturel;100 g;3,15 ¬ ;4,07 ¬ ;-23%;31,50 ¬ /kg
02/05/2023;beaute-hygiene-bio;Gel Douche Pêche Passion Certifié Cosmos Organic;La Fourche;1,00 L;7,50 ¬ ;9,04 ¬ ;-17%;7,50 ¬ /L
02/05/2023;beaute-hygiene-bio;Dentifrice Enfant Goût Fraise;Coslys;50 mL;2,97 ¬ ;3,68 ¬ ;-19%;59,40 ¬ /L
02/05/2023;beaute-hygiene-bio;Dentifrice Menthe Certifié Bio;Coslys;350 g;9,82 ¬ ;12,26 ¬ ;-20%;28,06 ¬ /kg
02/05/2023;beaute-hygiene-bio;Déodorant Solide en Stick Fleurs Blanches Certifié Cosmos Organic;La Fourche;50 g;4,95 ¬ ;8,20 ¬ ;-40%;99,00 ¬ /kg
02/05/2023;beaute-hygiene-bio;Recharge Têtes Brosse à Dents Souples x 3;Lamazuna;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Gel Douche Fleur d'Oranger Certifié Cosmos Organic;La Fourche;5,00 L;31,85 ¬ ;44,63 ¬ ;-29%;6,37 ¬ /L
02/05/2023;beaute-hygiene-bio;Baume à lèvres Certifié Bio;Avril;Pas de quantité;2,12 ¬ ;2,75 ¬ ;-23%;2,12 ¬ /unité
02/05/2023;beaute-hygiene-bio;Savon Saponifié à Froid Orange Douce Citron Miel Certifié Cosmos Organic;La Fourche;80 g;3,09 ¬ ;3,93 ¬ ;-21%;38,63 ¬ /kg
02/05/2023;beaute-hygiene-bio;Dentifrice blanchissant Certifié Bio;Avril;100 mL;3,09 ¬ ;3,75 ¬ ;-18%;30,90 ¬ /L
02/05/2023;beaute-hygiene-bio;Argile Verte Concassée;Argiletz;3 kg;7,62 ¬ ;10,17 ¬ ;-25%;2,54 ¬ /kg
02/05/2023;beaute-hygiene-bio;Porte Savon En Luffa;Apo;Pas de quantité;2,59 ¬ ;3,60 ¬ ;-28%;2,59 ¬ /unité
02/05/2023;beaute-hygiene-bio;Serviettes Normal Avec Ailettes x 14;Love and Green;Pas de quantité;2,95 ¬ ;3,10 ¬ ;-5%;0,21 ¬ /unité
02/05/2023;beaute-hygiene-bio;Serviette Ultra Normal avec Ailettes x 14;Natracare;Pas de quantité;2,99 ¬ ;3,75 ¬ ;-20%;0,21 ¬ /unité
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Argile Blanche Ultra Ventilée;Argiletz;200 g;4,49 ¬ ;6,42 ¬ ;-30%;22,45 ¬ /kg
02/05/2023;beaute-hygiene-bio;Dentifrice Daily Care à la menthe;Logona;75 mL;2,45 ¬ ;2,71 ¬ ;-10%;32,67 ¬ /L
02/05/2023;beaute-hygiene-bio;Shampoing Ultra Doux Cheveux Normaux;Coslys;1,00 L;10,55 ¬ ;15,78 ¬ ;-33%;10,55 ¬ /L
02/05/2023;beaute-hygiene-bio;Serviette Ultra Long Avec Ailettes x 10;Natracare;Pas de quantité;2,69 ¬ ;3,98 ¬ ;-32%;0,27 ¬ /unité
02/05/2023;beaute-hygiene-bio;Gratte Langue Ayurvédique en Cuivre;Bambaw;Pas de quantité;4,98 ¬ ;5,65 ¬ ;-12%;4,98 ¬ /unité
02/05/2023;beaute-hygiene-bio;Brosse A Dents Bambou Extra Souple pour Enfant;Apo;Pas de quantité;2,80 ¬ ;3,49 ¬ ;-20%;2,80 ¬ /unité
02/05/2023;beaute-hygiene-bio;Huile démaquillante Certifiée Bio;Avril;100 mL;5,55 ¬ ;6,98 ¬ ;-20%;55,50 ¬ /L
02/05/2023;beaute-hygiene-bio;Eau Micellaire Certifiée Bio;Avril;500 mL;5,48 ¬ ;6,45 ¬ ;-15%;10,96 ¬ /L
02/05/2023;beaute-hygiene-bio;Gel Douche Lavant Neutre Certifié Cosmos Organic;La Fourche;5,00 L;32,98 ¬ ;66,49 ¬ ;-50%;6,60 ¬ /L
02/05/2023;beaute-hygiene-bio;Dentifrice Solide en pastilles Menthe x 125;Apo;Pas de quantité;7,70 ¬ ;9,10 ¬ ;-15%;0,06 ¬ /unité
02/05/2023;beaute-hygiene-bio;Dentifrice à Croquer - Menthe Certifié Bio x 120;Lamazuna;Pas de quantité;7,28 ¬ ;9,90 ¬ ;-26%;0,06 ¬ /unité
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Rasoir de Sûreté Or Rose + Socle;Bambaw;Pas de quantité;19,99 ¬ ;25,15 ¬ ;-21%;19,99 ¬ /unité
02/05/2023;beaute-hygiene-bio;Soin contour des yeux et lèvres- Certifié bio;Avril;40 mL;6,06 ¬ ;8,45 ¬ ;-28%;151,50 ¬ /L
02/05/2023;beaute-hygiene-bio;Gel Douche Pêche Passion Certifié Cosmos Organic;La Fourche;5,00 L;31,85 ¬ ;44,63 ¬ ;-29%;6,37 ¬ /L
02/05/2023;beaute-hygiene-bio;Savon d'Alep 12% Huile de Baies de Laurier;Najel;200 g;3,41 ¬ ;4,97 ¬ ;-31%;17,05 ¬ /kg
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Gel Aloe Vera 98% Bio et Equitable;Pur'Aloé;125 g;9,14 ¬ ;11,28 ¬ ;-19%;73,12 ¬ /kg
02/05/2023;beaute-hygiene-bio;Huile De Soin Antioxydante;Clémence et Vivien;30 mL;10,03 ¬ ;11,55 ¬ ;-13%;334,33 ¬ /L
02/05/2023;beaute-hygiene-bio;Crème de Jour Peaux Sèches et Sensibles Certifiée Bio;Avril;50 mL;6,21 ¬ ;7,68 ¬ ;-19%;124,20 ¬ /L
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Brosse à Dents Rechargeable - 1 Manche + 2 Têtes Souples x 3;Apo;Pas de quantité;3,87 ¬ ;4,63 ¬ ;-16%;1,29 ¬ /unité
02/05/2023;beaute-hygiene-bio;Crème de Jour Peaux Normales et Mixtes Certifiée Bio;Avril;50 mL;6,21 ¬ ;7,70 ¬ ;-19%;124,20 ¬ /L
02/05/2023;beaute-hygiene-bio;Recharge de Savon Liquide au Citron - Certifié Bio;L'Artisan Savonnier;1,00 L;7,90 ¬ ;8,90 ¬ ;-11%;7,90 ¬ /L
02/05/2023;beaute-hygiene-bio;Gel Lavant Neutre Hypoallergénique Cheveux et Corps;Coslys;1,00 L;9,52 ¬ ;11,71 ¬ ;-19%;9,52 ¬ /L
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Déodorant Roll-on Soin 24h Fleur de Cerisier et Abricot - Certifié Bio;Je suis Bio;50 mL;3,69 ¬ ;5,45 ¬ ;-32%;73,80 ¬ /L
02/05/2023;beaute-hygiene-bio;Recharge Têtes Brosse à Dents Médium x 3;Lamazuna;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;Cotons Démaquillants Réutilisables x 10;Bambaw;Pas de quantité;7,69 ¬ ;9,99 ¬ ;-23%;0,77 ¬ /unité
02/05/2023;beaute-hygiene-bio;Dentifrice Daily Care Extra Frais au Fluor;Logona;75 mL;3,27 ¬ ;3,84 ¬ ;-15%;43,60 ¬ /L
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;beaute-hygiene-bio;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
02/05/2023;bebe-bio-ecologique;Couches Ecologiques T4 (7-18kg) x 50;Tidoo;Pas de quantité;16,95 ¬ ;21,48 ¬ ;-21%;0,34 ¬ /unité
02/05/2023;bebe-bio-ecologique;aucune;aucune;Pas de quantité;aucun;aucun;aucun;aucun
