Étiquettes de lignes;Nombre de Marque;Min. de Prix;Max. de Prix2
Locman Sport Tonneau;35;121;553
Locman Sport Quadrato;9;123;586
Longines;1735;123;2000000
Aristo;29;125;8250
Citizen Promaster;617;125;5025
Fendi;153;125;5809
Orient Bambino;324;125;480
Pequignet Rue Royale;20;125;22185
Orator;8;125;4454
Zodiac;145;125;10386
Tissot Tradition;211;125;960
Jacques Lemans Sport Liverpool;7;126;352
Zeppelin;754;127;2520
Enicar;90;128;14500
Sicura;51;128;1920
Chanel;231;129;109443
Grovana;8;129;1239
Sea-Gull;100;129;13045
Spinnaker;184;129;700
Van Cleef & Arpels;146;129;111620
Bulova Crystal;54;133;679
Luminox Sentry;5;133;291
Alpina Horological Smartwatch;20;137;938
Seiko Neo Classic;36;137;337
Momentum;2;138;275
Tissot Touch;71;138;3120
Citizen Promaster Marine;294;139;1514
Yves Saint Laurent;2;139;800
Eberhard & Co.;395;140;18427
Dugena Monza;4;140;1490
Mido Baroncelli;226;140;1628
Mondaine Evo;66;144;632
Baume & Mercier;489;145;83757
Gruen;44;145;2567
Hanhart;57;145;10169
Kienzle Poseidon;1;145;145
Mathey-Tissot;63;145;21900
Seiko King;183;147;3956
Wenger Sea Force;20;147;352
Azzaro;3;148;197
Certina DS Spel Lady;5;149;826
Iron Annie;297;149;2520
Omega Genève;632;149;14663
Rebellion;11;149;52500
Raymond Weil Tango;174;149;2450
Yema;207;149;7800
Zenith Port Royal;125;149;75605
Davosa;310;150;2418
Ingersoll Richmond;1;150;150
Jules Jürgensen;38;150;22500
Locman Change One;21;150;604
Mondaine Classic;52;150;562
Lucien Rochat;67;150;6300
Pierre Balmain;31;150;1700
Porsche Design;110;150;18500
Pacardt;2;150;340
RSW;92;150;38348
Rado Diastar;178;150;13999
Tissot Couturier;120;150;1599
Tissot Le Locle;295;150;24999
Maurice Lacroix Eliros;169;151;1069
Maurice Lacroix Miros;86;151;2264
Tissot Bridgeport;28;151;3125
Philip Watch Blaze;4;153;270
Orient Kamasu;56;154;557
Certina DS Podium;76;155;1776
Girard Perregaux;438;155;175890
Rado;255;155;320000
Paul Picot;142;155;8900
Seiko Sportura;35;155;3500
Tissot TXL;14;155;708
IWC;1053;157;163056
Seiko Credor;245;158;58254
Nina Ricci;11;159;916
Balmain;12;160;2926
Locman Latin Lover;11;160;1100
Ebel;95;162;24634
Junkers Bauhaus;35;163;730
Mondaine Simply Elegant;13;163;430
Tissot PRS 516;126;164;2211
Heuer;603;165;70000
Omega Seamaster;2237;165;45630
Universal Genève;480;165;38000
Zeno-Watch Basel Airplane Diver;17;165;2142
Bulova Wilton;50;166;667
Bulova Marine Star;149;166;5999
Technomarine Cruise;22;166;3000
Laco;526;167;15600
Out of Order;51;168;829
Election;14;169;4900
Vulcain;125;169;50061
Tissot T-Lady;84;169;1220
Junkers;102;170;2173
Locman Aviatore;2;170;231
Lip Mach 2000;23;170;2450
Technomarine;45;170;5085
Tissot PRS 200;17;170;556
Claude Bernard;49;171;1800
Certina DS Caimano;40;173;813
Orient Sun and Moon;45;173;469
Girard Perregaux 1966;187;175;140042
Ernest Borel;133;175;4997
Luminox F-117 Nighthawk;9;175;1402
Mido;192;175;11056
Movado Amorosa;12;175;1335
Seiko Arctura;13;175;1400
Raymond Weil Othello;12;175;2800
Tissot Classic Dream;49;176;586
Longines Flagship;472;179;7000
Enicar Ultrasonic;19;180;2649
Junkers Hugo Junkers;1;180;180
Junkers Tante Ju;8;180;1392
Tissot T-Sport;164;180;1523
Seiko Superior;30;182;6508
Aristo Pilot;6;183;850
Seiko Coutura;13;185;726
Tissot Heritage;89;185;3294
Tissot Heritage Visodate;80;185;766
Tissot T-Navigator;5;185;802
Bulova Military;17;186;1061
Movado Bold;176;186;4850
Wyler;24;186;13490
Universal Genève Polerouter;103;186;20000
Dior;55;187;10702
Junkers Dessau 1926 Flatline;1;187;187
Movado Edge;8;187;709
Michel Herbelin Classic;28;189;824
Lip T18;5;189;669
Glycine Combat SUB;111;190;4954
Maurice Lacroix Divina;12;190;21950
Tissot Quickster;34;190;700
Bomberg;30;195;1894
Tissot PRX;245;195;2600
Aquastar;46;199;15435
DuBois 1785;18;199;4120
Maurice Lacroix Calypso;35;199;12990
Orfina;21;199;15000
Seiko Premier;19;199;750
Zenith Stellina;93;199;4290
Welder K25;3;199;400
Alpina Startimer Pilot;86;200;1897
Alpina Startimer;56;200;2530
Gucci G-Timeless;718;200;11434
Eterna Matic;95;200;8928
Hamilton Jazzmaster Thinline;195;200;6352
Locman Toscano;19;200;1055
Swiss Military Hanowa Arrow;1;200;200
Tiffany;275;200;55554
Zenith Star;30;200;113275
Wakmann;24;200;5200
Bulova Precisionist;53;201;871
Chris Benz;138;201;2753
Cyrus;20;201;144062
Certina DS Podium Lady;17;201;918
Bruno Söhnle;311;201;30247
Jacques Lemans High Tech Ceramic Dublin;10;201;246
Locman Tremila;14;201;584
Seiko Astron GPS Solar;408;201;25938
Traser;199;201;1562
Tissot Flamingo;29;202;479
Deep Blue;58;205;1433
Longines Présence;490;206;2902
U-Boat;397;206;4680
Edox Les Vauberts;75;208;1100
Victorinox Swiss Army Victoria;2;208;721
Liv Watches;20;209;1400
Kelek;7;209;16850
Seiko Alpinist;197;209;2791
Victorinox Swiss Army Maverick;88;209;860
Jacques Lemans Kevin Costner Collection;1;211;211
Victorinox Swiss Army Alliance;101;211;947
Tissot Gentleman;179;214;1743
H.Moser & Cie.;113;215;89285
Audemars Piguet;581;216;1663973
Hermès;385;216;42029
Citizen Stiletto;15;218;550
Gallet;48;218;11162
Bulova Accutron II;10;219;960
Ingersoll Arizona;1;219;219
Luminox Recon;3;219;503
Locman Montecristo;158;219;4446
Mido Ocean Star;427;219;2740
Pequignet;95;219;23193
Xemex;9;219;11000
Lemania;102;220;12483
Longines La Grande Classique;715;220;4275
Michel Herbelin Newport;58;220;2516
Mido Commander;297;220;2390
Roamer Stingray;18;220;3903
Seiko Monster;43;220;2316
Revue Thommen Wallstreet;2;220;346
Zenith Sporto;48;220;3900
Alpina Comtesse;38;222;2138
Certina DS Podium Square;3;222;1097
TAG Heuer Formula 1 Quartz;1059;222;4106
TAG Heuer Formula 1 Lady;169;222;5287
Elysee Classic Edition;1;223;223
Swiss Military Hanowa Navalus Chrono;1;224;224
Corum Admiral's Cup;239;225;211849
Ebel Beluga;111;225;17667
TAG Heuer Formula 1;56;225;52788
Citizen Promaster Sky;379;229;4389
Maurice Lacroix Les Classiques Date;122;229;2522
Baume & Mercier Linea;143;230;8500
Hamilton Khaki Field;545;230;4800
Mercury;43;230;2673
Longines DolceVita;759;230;11705
Milus;33;230;19923
Raymond Weil Parsifal;180;230;12411
Zenith Defy;452;230;125944
Omega De Ville Ladymatic;221;232;74099
Boldr;46;233;899
Illinois;31;233;3785
Hamilton Railroad;147;233;2726
Junkers Eisvogel F13;7;233;634
Movado Circa;10;233;2400
TAG Heuer 2000;213;233;2005
RGM;6;233;44553
Victorinox Swiss Army Dive Master 500;14;233;2414
Raymond Weil Toccata;147;237;1885
Nethuns;29;239;1670
Tendence;34;239;778
Askania;5;240;1412
Baltic;58;240;11500
Bruno Söhnle Nabucco;24;240;600
Ebel Sport;302;240;16780
Longines Conquest;987;240;6054
Tissot T-Race Cycling;24;240;569
Junkers G38;3;241;702
Steinhart Ocean 1;29;241;1150
Movado Kingmatic;30;242;5355
Seiko Bell Matic;29;242;1111
Rado HyperChrome Captain Cook;271;242;4613
Christopher Ward;71;244;10410
Hamilton Khaki Field King;60;246;1503
Jean d'Eve;14;246;5000
Philip Stein Active;1;246;246
Tissot T-Race;140;246;2513
Tissot Seastar 1000;312;246;4000
Tissot Carson;152;247;3599
Seiko Astron;129;248;6350
Certina DS First;17;249;1650
Edox Chronorally;59;249;3277
Junghans max bill;22;249;1950
Minerva;64;249;37980
Movado Cerena;3;249;1339
Zeno-Watch Basel X-Large Pilot;24;249;3013
Zenith Academy;8;249;2600
Angelus;74;250;50324
Charriol;68;250;11056
Certina DS Sport;6;250;1099
Elysee Executive Edition;3;250;492
Fortis Marinemaster;50;250;6555
Lancaster;6;250;990
TAG Heuer Alter Ego;34;250;4180
Frederique Constant Horological Smartwatch;110;251;2702
Mondaine Helvetica;14;251;605
Luminox Colormark;2;251;283
Louis Erard Héritage;64;251;2100
Orient M-Force;68;251;882
Edox Les Bémonts;84;254;4056
Laco Genf;4;254;312
Junkers Iron Annie Ju 52;2;255;389
Rado Sintra;86;255;6578
Tissot Desire;3;255;441
Delma;47;257;4350
ROWI;1;259;259
Concord C1;25;260;26802
Jaeger-LeCoultre;749;260;262821
Swatch Moonswatch;1069;260;10000
Certina DS Prime;6;261;802
Certina Blue RIbbon;12;263;1140
Zenith El Primero Espada;22;265;27472
Piaget Polo S;82;267;28465
Seiko Lukia;173;268;2538
Baume & Mercier Catwalk;34;269;6924
Gucci G-Frame;75;269;20722
Louis XVI;51;269;822
Alfred Dunhill;47;270;7900
Davosa Nautic Star;8;270;401
Certina DS-2;65;270;6970
Junghans 1972;10;270;2471
Junghans Meister;46;272;1855
Tissot T-Touch Expert;15;273;1263
Michele;42;274;3239
Luminox Navy Seal Colormark;26;274;554
Concord;65;275;22330
Certina DS Podium Big Size;16;275;897
Ebel Sportwave;124;275;9124
Gucci G-Chrono;54;275;5583
Hamilton Jazzmaster Seaview;52;275;1258
Raymond Weil RW;6;275;1000
Rado Florence;58;275;1257
Shinola;16;276;2234
Seiko Premier Automatic;9;276;1861
Luminox Original Navy Seal;26;277;500
Seiko Brightz;195;277;3000
Alpina Alpiner;222;279;3700
Davidoff;29;279;19147
Hebdomas;14;279;5000
Raymond Weil Amadeus;24;279;3700
Tissot Dressport;4;279;5025
Eterna Kontiki;100;280;5400
Montblanc;178;280;33157
Mondaine Stop2go;1;281;281
Longines Oposition;55;281;1800
Victorinox Swiss Army Infantry;12;281;721
Aerowatch Les Grandes Classiques;14;282;6645
Junghans FORM;14;282;660
Baume & Mercier Hampton;474;284;22000
Certina DS Action;160;288;1205
Casio Oceanus;219;289;3370
Elysee Graf Berghe von Trips;1;289;289
Bruno Söhnle Rondo;38;290;3020
Frederique Constant Slimline Gents;44;290;990
S.T. Dupont;13;290;2449
Welder;2;290;350
Bulgari Bulgari;1114;291;39632
Joop;3;291;352
CWC;27;292;3513
Philip Stein Teslar;4;293;1674
Seiko Premier Kinetic Perpetual;26;293;938
Charriol Colvmbvs;46;299;5171
Ebel Classic;139;299;9945
Hamilton Khaki Aviation;283;299;3561
Maurice Lacroix Fiaba;66;299;1801
Luminox Atacama Field;38;299;805
Raymond Weil Tradition;42;299;1900
Roamer Dreamline;2;299;364
Salvatore Ferragamo;21;299;4132
Tissot Generosi-T;3;299;423
Breitling;1346;300;56955
Certina DS-1;56;300;3066
Charmex;1;300;300
Chronographe Suisse Cie;69;300;18000
Fludo;7;300;1335
Hamilton Jazzmaster;514;300;4686
Hamilton Jazzmaster Lady;119;300;2182
Hamilton Lloyd;3;300;795
Hamilton Jazzmaster Slim;16;300;1087
Hamilton Khaki Pilot;89;300;2523
Movado Vizio;15;300;2400
Movado 1881 Automatic;6;300;2557
Kronsegler;4;300;777
Omega Constellation;1920;300;150000
Philip Watch Sunray;2;300;500
TAG Heuer Kirium;96;300;3049
Seiko Premier Kinetic Direct Drive;1;300;300
Tissot PRS 330;1;300;300
Zodiac Sea Wolf;108;300;5583
Tissot Glam Sport;3;302;2200
Gruen Curvex;11;307;2502
Valentino;6;307;1180
Bomberg 1968;6;310;713
Formex;198;310;2259
Michele Tahitian;4;310;1039
Movado Bela;1;310;310
Movado TC;1;313;313
Enicar Sherpa;100;315;13149
Zeno-Watch Basel Vintage Line;14;316;2110
Technomarine UF6;3;318;669
Junghans Milano;5;320;596
Laco Augsburg;81;320;569
Rado Ceramica;82;320;2868
Raymond Weil Don Giovanni;31;320;4458
Scalfaro;2;320;2281
Alpina Club;7;322;1890
Tissot Lady 80 Automatic;22;322;885
Bruno Söhnle Sonate;1;323;323
Glycine Combat;28;323;1407
Glycine KMU48;5;325;850
Hamilton Jazzmaster Day Date Auto;111;325;1287
Movado Serio;3;326;1339
Carl F. Bucherer;56;328;15650
Hamilton Broadway;146;328;2273
Bulova Lunar Pilot;62;329;1642
Philip Stein Classic;1;329;329
Tudor;608;329;35900
Glashütte Original Sixties;63;330;12797
Victorinox Swiss Army Chrono Classic;24;330;691
Frederique Constant Classics Delight;51;334;1800
Frederique Constant;483;334;25105
Hamilton Thin-O-Matic;20;334;1227
Eterna Centenaire;11;335;4613
Ebel Brasilia;57;335;11496
Nivrel;14;335;3650
Raymond Weil Noemia;50;335;2935
Tissot T-Race Touch;10;337;515
Apple Apple Watch;8;340;10300
Cartier;1162;340;308092
Junghans Meister Chronometer;4;343;1482
Luminox Deep Dive;12;343;1843
Citizen Promaster Land;71;344;2234
Longines Lyre;177;344;1658
